Institución, Indicador, Rango de Indicador, 2013, 2014, 2015,2016, 2017, 2018, 2019, 2020, 2021,2022, 2023
CES, JSR,  5 <= JSR < 10,  2, 0, 0, 2, 10, 0, 2, 16, 8, 2, 2
CES, JSR,  10  <= JSR < 20 , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
CES, JSR,  JSR >= 20 , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
CES, H,  0  <= H index < 20 , 9, 9, 10, 0, 12, 9, 17, 22, 14, 28, 31
CES, H,  20  <= H index < 50 , 4, 4, 10, 10, 14, 19, 33, 39, 43, 41, 54
CES, H,  50 <= H index < 100 , 2, 6, 5, 9, 21, 21, 39, 56, 42, 45, 117
CES, H,  100  <= H index < 200 , 34, 10, 13, 9, 20, 21, 24, 26, 17, 16, 85
CES, H,  H index >= 200 , 4, 2, 6, 8, 24, 18, 6, 24, 9, 9, 10
UCatolica, JSR, 0  <= JSR < 2 , 1374,  1619,  1610,  1940,  1781,  1844,  1894,  2440,  2320,  2171,  1952
UCatolica, JSR, 2  <= JSR < 5, 1358,  1504,  1674,  1958,  1995,  2054,  2015,  2231,  2163,  1870,  1790
UCatolica, JSR, 5 <= JSR < 10, 123, 123, 119, 155, 159, 128, 154, 142, 183, 177, 153
UCatolica, JSR, 10  <= JSR < 20, 6, 6, 2, 4, 6, 16, 9, 8, 8, 13, 12
UCatolica, JSR, JSR >= 20 , 0, 2, 0, 0, 0, 2, 0, 0, 2, 0, 0
UCatolica,  H, 0  <= H index < 20 , 503,  630,  608,  725,  640,  678,  593,  765,  552,  509,  544
UCatolica,  H, 20  <= H index < 50 , 499,  521,  503,  545,  573,  544,  573,  745,  728,  753,  551
UCatolica,  H, 50 <= H index < 100 , 470,  516,  591,  767,  656,  747,  813,  1027,  1105,  926,  858
UCatolica,  H, 100  <= H index < 200 , 648,  776,  880,  1026,  1016,  1036,  1049,  1148,  1273,  1095,  1066
UCatolica,  H, H index >= 200 , 741,  811,  823,  994,  1056,  1039,  1044,  1136,  1018,  948,  888
